[ 1176.912024] [KEYBOARD_INTERRUPT]: Entering module.
[ 1176.997505] [KEYBOARD_INTERRUPT]: Key released: 156
[ 1179.517930] [KEYBOARD_INTERRUPT]: Key pressed: 31
[ 1179.605839] [KEYBOARD_INTERRUPT]: Key released: 159
[ 1179.621572] [KEYBOARD_INTERRUPT]: Key pressed: 22
[ 1179.685648] [KEYBOARD_INTERRUPT]: Key released: 150
[ 1179.709496] [KEYBOARD_INTERRUPT]: Key pressed: 32
[ 1179.765657] [KEYBOARD_INTERRUPT]: Key pressed: 24
[ 1179.853700] [KEYBOARD_INTERRUPT]: Key released: 160
[ 1179.869440] [KEYBOARD_INTERRUPT]: Key pressed: 57
[ 1179.885759] [KEYBOARD_INTERRUPT]: Key released: 152
[ 1179.957448] [KEYBOARD_INTERRUPT]: Key released: 185
[ 1180.861819] [KEYBOARD_INTERRUPT]: Key pressed: 19
[ 1180.901468] [KEYBOARD_INTERRUPT]: Key pressed: 50
[ 1180.933704] [KEYBOARD_INTERRUPT]: Key released: 147
[ 1180.981868] [KEYBOARD_INTERRUPT]: Key released: 178
[ 1181.117370] [KEYBOARD_INTERRUPT]: Key pressed: 50
[ 1181.181466] [KEYBOARD_INTERRUPT]: Key released: 178
[ 1181.245562] [KEYBOARD_INTERRUPT]: Key pressed: 24
[ 1181.325807] [KEYBOARD_INTERRUPT]: Key released: 152
[ 1181.333775] [KEYBOARD_INTERRUPT]: Key pressed: 32
[ 1181.405584] [KEYBOARD_INTERRUPT]: Key pressed: 57
[ 1181.429447] [KEYBOARD_INTERRUPT]: Key released: 160
[ 1181.501804] [KEYBOARD_INTERRUPT]: Key released: 185
[ 1181.677480] [KEYBOARD_INTERRUPT]: Key pressed: 37
[ 1181.749530] [KEYBOARD_INTERRUPT]: Key pressed: 18
[ 1181.765676] [KEYBOARD_INTERRUPT]: Key released: 165
[ 1181.821396] [KEYBOARD_INTERRUPT]: Key released: 146
[ 1181.933925] [KEYBOARD_INTERRUPT]: Key pressed: 15
[ 1182.109710] [KEYBOARD_INTERRUPT]: Key released: 143
[ 1183.205750] [KEYBOARD_INTERRUPT]: Key pressed: 28

