rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'LOWLEVEL'
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069003] [LOWLEVEL]: Entering module.
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069006] [LOWLEVEL]: array[0] = [0]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069007] [LOWLEVEL]: array[1] = [1]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069007] [LOWLEVEL]: array[2] = [2]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069007] [LOWLEVEL]: array[3] = [3]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069008] [LOWLEVEL]: array[4] = [4]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069008] [LOWLEVEL]: array[5] = [5]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069008] [LOWLEVEL]: array[6] = [6]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069009] [LOWLEVEL]: array[7] = [7]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069009] [LOWLEVEL]: array[8] = [8]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069009] [LOWLEVEL]: array[9] = [9]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069010] [LOWLEVEL]: array[10] = [10]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069010] [LOWLEVEL]: array[11] = [11]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069010] [LOWLEVEL]: array[12] = [12]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069011] [LOWLEVEL]: array[13] = [13]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069011] [LOWLEVEL]: array[14] = [14]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069011] [LOWLEVEL]: array[15] = [15]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069012] [LOWLEVEL]: array[16] = [16]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069012] [LOWLEVEL]: array[17] = [17]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069012] [LOWLEVEL]: array[18] = [18]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069013] [LOWLEVEL]: array[19] = [19]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069013] [LOWLEVEL]: array[20] = [20]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069013] [LOWLEVEL]: array[21] = [21]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069013] [LOWLEVEL]: array[22] = [22]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069014] [LOWLEVEL]: array[23] = [23]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069014] [LOWLEVEL]: array[24] = [24]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069014] [LOWLEVEL]: array[25] = [25]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069015] [LOWLEVEL]: array[26] = [26]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069015] [LOWLEVEL]: array[27] = [27]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069015] [LOWLEVEL]: array[28] = [28]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069016] [LOWLEVEL]: array[29] = [29]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069016] [LOWLEVEL]: array[30] = [30]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069016] [LOWLEVEL]: array[31] = [31]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069017] [LOWLEVEL]: array[32] = [32]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069017] [LOWLEVEL]: array[33] = [33]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069017] [LOWLEVEL]: array[34] = [34]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069018] [LOWLEVEL]: array[35] = [35]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069018] [LOWLEVEL]: array[36] = [36]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069018] [LOWLEVEL]: array[37] = [37]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069019] [LOWLEVEL]: array[38] = [38]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069019] [LOWLEVEL]: array[39] = [39]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069019] [LOWLEVEL]: array[40] = [40]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069020] [LOWLEVEL]: array[41] = [41]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069020] [LOWLEVEL]: array[42] = [42]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069020] [LOWLEVEL]: array[43] = [43]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069021] [LOWLEVEL]: array[44] = [44]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069021] [LOWLEVEL]: array[45] = [45]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069021] [LOWLEVEL]: array[46] = [46]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069022] [LOWLEVEL]: array[47] = [47]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069022] [LOWLEVEL]: array[48] = [48]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069022] [LOWLEVEL]: array[49] = [49]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069022] [LOWLEVEL]: array[50] = [50]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069023] [LOWLEVEL]: array[51] = [51]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069023] [LOWLEVEL]: array[52] = [52]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069023] [LOWLEVEL]: array[53] = [53]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069024] [LOWLEVEL]: array[54] = [54]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069024] [LOWLEVEL]: array[55] = [55]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069024] [LOWLEVEL]: array[56] = [56]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069025] [LOWLEVEL]: array[57] = [57]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069025] [LOWLEVEL]: array[58] = [58]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069025] [LOWLEVEL]: array[59] = [59]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069026] [LOWLEVEL]: array[60] = [60]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069026] [LOWLEVEL]: array[61] = [61]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069026] [LOWLEVEL]: array[62] = [62]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069027] [LOWLEVEL]: array[63] = [63]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069027] [LOWLEVEL]: array[64] = [64]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069027] [LOWLEVEL]: array[65] = [65]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069028] [LOWLEVEL]: array[66] = [66]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069028] [LOWLEVEL]: array[67] = [67]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069028] [LOWLEVEL]: array[68] = [68]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069029] [LOWLEVEL]: array[69] = [69]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069029] [LOWLEVEL]: array[70] = [70]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069029] [LOWLEVEL]: array[71] = [71]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069030] [LOWLEVEL]: array[72] = [72]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069030] [LOWLEVEL]: array[73] = [73]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069030] [LOWLEVEL]: array[74] = [74]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069030] [LOWLEVEL]: array[75] = [75]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069031] [LOWLEVEL]: array[76] = [76]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069031] [LOWLEVEL]: array[77] = [77]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069031] [LOWLEVEL]: array[78] = [78]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069032] [LOWLEVEL]: array[79] = [79]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069032] [LOWLEVEL]: array[80] = [80]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069032] [LOWLEVEL]: array[81] = [81]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069033] [LOWLEVEL]: array[82] = [82]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069033] [LOWLEVEL]: array[83] = [83]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069033] [LOWLEVEL]: array[84] = [84]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069034] [LOWLEVEL]: array[85] = [85]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069034] [LOWLEVEL]: array[86] = [86]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069034] [LOWLEVEL]: array[87] = [87]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069035] [LOWLEVEL]: array[88] = [88]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069035] [LOWLEVEL]: array[89] = [89]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069035] [LOWLEVEL]: array[90] = [90]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069036] [LOWLEVEL]: array[91] = [91]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069036] [LOWLEVEL]: array[92] = [92]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069036] [LOWLEVEL]: array[93] = [93]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069037] [LOWLEVEL]: array[94] = [94]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069037] [LOWLEVEL]: array[95] = [95]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069037] [LOWLEVEL]: array[96] = [96]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069038] [LOWLEVEL]: array[97] = [97]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069038] [LOWLEVEL]: array[98] = [98]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069038] [LOWLEVEL]: array[99] = [99]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069039] [LOWLEVEL]: array[100] = [100]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069039] [LOWLEVEL]: array[101] = [101]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069039] [LOWLEVEL]: array[102] = [102]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069040] [LOWLEVEL]: array[103] = [103]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069040] [LOWLEVEL]: array[104] = [104]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069040] [LOWLEVEL]: array[105] = [105]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069040] [LOWLEVEL]: array[106] = [106]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069041] [LOWLEVEL]: array[107] = [107]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069041] [LOWLEVEL]: array[108] = [108]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069041] [LOWLEVEL]: array[109] = [109]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069042] [LOWLEVEL]: array[110] = [110]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069042] [LOWLEVEL]: array[111] = [111]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069042] [LOWLEVEL]: array[112] = [112]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069043] [LOWLEVEL]: array[113] = [113]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069043] [LOWLEVEL]: array[114] = [114]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069043] [LOWLEVEL]: array[115] = [115]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069044] [LOWLEVEL]: array[116] = [116]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069044] [LOWLEVEL]: array[117] = [117]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069044] [LOWLEVEL]: array[118] = [118]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069045] [LOWLEVEL]: array[119] = [119]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069045] [LOWLEVEL]: array[120] = [120]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069045] [LOWLEVEL]: array[121] = [121]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069046] [LOWLEVEL]: array[122] = [122]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069046] [LOWLEVEL]: array[123] = [123]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069046] [LOWLEVEL]: array[124] = [124]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069047] [LOWLEVEL]: array[125] = [125]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069047] [LOWLEVEL]: array[126] = [126]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069047] [LOWLEVEL]: array[127] = [127]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069048] [LOWLEVEL]: array[128] = [128]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069048] [LOWLEVEL]: array[129] = [129]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069048] [LOWLEVEL]: array[130] = [130]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069049] [LOWLEVEL]: array[131] = [131]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069049] [LOWLEVEL]: array[132] = [132]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069049] [LOWLEVEL]: array[133] = [133]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069050] [LOWLEVEL]: array[134] = [134]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069050] [LOWLEVEL]: array[135] = [135]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069050] [LOWLEVEL]: array[136] = [136]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069051] [LOWLEVEL]: array[137] = [137]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069051] [LOWLEVEL]: array[138] = [138]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069051] [LOWLEVEL]: array[139] = [139]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069052] [LOWLEVEL]: array[140] = [140]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069052] [LOWLEVEL]: array[141] = [141]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069052] [LOWLEVEL]: array[142] = [142]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069053] [LOWLEVEL]: array[143] = [143]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069053] [LOWLEVEL]: array[144] = [144]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069053] [LOWLEVEL]: array[145] = [145]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069054] [LOWLEVEL]: array[146] = [146]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069054] [LOWLEVEL]: array[147] = [147]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069054] [LOWLEVEL]: array[148] = [148]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069055] [LOWLEVEL]: array[149] = [149]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069055] [LOWLEVEL]: array[150] = [150]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069055] [LOWLEVEL]: array[151] = [151]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069055] [LOWLEVEL]: array[152] = [152]
