rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'HIGHMEM'
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578923] [HIGHMEM]: Entering module.
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578925] [HIGHMEM]: array[0] = [0]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578925] [HIGHMEM]: array[1] = [1]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578925] [HIGHMEM]: array[2] = [2]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578926] [HIGHMEM]: array[3] = [3]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578926] [HIGHMEM]: array[4] = [4]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578926] [HIGHMEM]: array[5] = [5]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578927] [HIGHMEM]: array[6] = [6]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578927] [HIGHMEM]: array[7] = [7]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578927] [HIGHMEM]: array[8] = [8]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578928] [HIGHMEM]: array[9] = [9]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578928] [HIGHMEM]: array[10] = [10]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578928] [HIGHMEM]: array[11] = [11]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578929] [HIGHMEM]: array[12] = [12]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578929] [HIGHMEM]: array[13] = [13]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578929] [HIGHMEM]: array[14] = [14]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578930] [HIGHMEM]: array[15] = [15]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578930] [HIGHMEM]: array[16] = [16]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578930] [HIGHMEM]: array[17] = [17]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578931] [HIGHMEM]: array[18] = [18]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578931] [HIGHMEM]: array[19] = [19]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578931] [HIGHMEM]: array[20] = [20]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578932] [HIGHMEM]: array[21] = [21]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578932] [HIGHMEM]: array[22] = [22]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578932] [HIGHMEM]: array[23] = [23]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578932] [HIGHMEM]: array[24] = [24]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578933] [HIGHMEM]: array[25] = [25]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578933] [HIGHMEM]: array[26] = [26]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578933] [HIGHMEM]: array[27] = [27]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578934] [HIGHMEM]: array[28] = [28]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578934] [HIGHMEM]: array[29] = [29]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578934] [HIGHMEM]: array[30] = [30]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578935] [HIGHMEM]: array[31] = [31]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578935] [HIGHMEM]: array[32] = [32]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578935] [HIGHMEM]: array[33] = [33]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578936] [HIGHMEM]: array[34] = [34]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578936] [HIGHMEM]: array[35] = [35]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578936] [HIGHMEM]: array[36] = [36]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578937] [HIGHMEM]: array[37] = [37]
